TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8530
Serial Number:,8530172811
Test ID:,001
Test Abbreviation:,MANUAL_001
Start Date:,20-01-2020
Start Time:,13:01:58
Duration (dd:hh:mm:ss):,2:01:00:00
Log Interval (mm:ss):,00:30
Number of points:,5880
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.092
,Minimum:,0.039
,Time of Minimum:,14:45:28
,Date of Minimum:,20-01-2020
,Maximum:,2.210
,Time of Maximum:,07:57:28
,Date of Maximum:,22-01-2020

Calibration,Sensor:,AEROSOL
,Cal. date,14-07-2017

Date,Time,AEROSOL
20-01-2020,17:53:58,0.048
20-01-2020,17:54:28,0.050
20-01-2020,17:54:58,0.050
20-01-2020,17:55:28,0.052
20-01-2020,17:55:58,0.052
20-01-2020,17:56:28,0.049
20-01-2020,17:56:58,0.049
20-01-2020,17:57:28,0.049
20-01-2020,17:57:58,0.049
20-01-2020,17:58:28,0.049
20-01-2020,17:58:58,0.050
20-01-2020,17:59:28,0.050
20-01-2020,17:59:58,0.051
20-01-2020,18:00:28,0.050
20-01-2020,18:00:58,0.052
20-01-2020,18:01:28,0.055
20-01-2020,18:01:58,0.056
20-01-2020,18:02:28,0.059
20-01-2020,18:02:58,0.058
20-01-2020,18:03:28,0.062
20-01-2020,18:03:58,0.067
20-01-2020,18:04:28,0.058
20-01-2020,18:04:58,0.060
20-01-2020,18:05:28,0.057
20-01-2020,18:05:58,0.054
20-01-2020,18:06:28,0.054
20-01-2020,18:06:58,0.054
20-01-2020,18:07:28,0.053
20-01-2020,18:07:58,0.053
20-01-2020,18:08:28,0.052
20-01-2020,18:08:58,0.055
20-01-2020,18:09:28,0.059
20-01-2020,18:09:58,0.069
20-01-2020,18:10:28,0.061
20-01-2020,18:10:58,0.056
20-01-2020,18:11:28,0.059
20-01-2020,18:11:58,0.056
20-01-2020,18:12:28,0.054
20-01-2020,18:12:58,0.053
20-01-2020,18:13:28,0.052
20-01-2020,18:13:58,0.051
20-01-2020,18:14:28,0.051
20-01-2020,18:14:58,0.051
20-01-2020,18:15:28,0.051
20-01-2020,18:15:58,0.051
20-01-2020,18:16:28,0.052
20-01-2020,18:16:58,0.055
20-01-2020,18:17:28,0.066
20-01-2020,18:17:58,0.063
20-01-2020,18:18:28,0.060
20-01-2020,18:18:58,0.057
20-01-2020,18:19:28,0.052
20-01-2020,18:19:58,0.053
20-01-2020,18:20:28,0.052
20-01-2020,18:20:58,0.055
20-01-2020,18:21:28,0.054
20-01-2020,18:21:58,0.054
20-01-2020,18:22:28,0.054
20-01-2020,18:22:58,0.053
20-01-2020,18:23:28,0.055
20-01-2020,18:23:58,0.055
20-01-2020,18:24:28,0.055
20-01-2020,18:24:58,0.055
20-01-2020,18:25:28,0.053
20-01-2020,18:25:58,0.054
20-01-2020,18:26:28,0.053
20-01-2020,18:26:58,0.053
20-01-2020,18:27:28,0.054
20-01-2020,18:27:58,0.053
20-01-2020,18:28:28,0.054
20-01-2020,18:28:58,0.054
20-01-2020,18:29:28,0.055
20-01-2020,18:29:58,0.054
20-01-2020,18:30:28,0.055
20-01-2020,18:30:58,0.055
20-01-2020,18:31:28,0.055
20-01-2020,18:31:58,0.056
20-01-2020,18:32:28,0.056
20-01-2020,18:32:58,0.059
20-01-2020,18:33:28,0.058
20-01-2020,18:33:58,0.060
20-01-2020,18:34:28,0.059
20-01-2020,18:34:58,0.058
20-01-2020,18:35:28,0.058
20-01-2020,18:35:58,0.058
20-01-2020,18:36:28,0.058
20-01-2020,18:36:58,0.059
20-01-2020,18:37:28,0.058
20-01-2020,18:37:58,0.058
20-01-2020,18:38:28,0.059
20-01-2020,18:38:58,0.060
20-01-2020,18:39:28,0.060
20-01-2020,18:39:58,0.062
20-01-2020,18:40:28,0.061
20-01-2020,18:40:58,0.063
20-01-2020,18:41:28,0.063
20-01-2020,18:41:58,0.063
20-01-2020,18:42:28,0.064
20-01-2020,18:42:58,0.064
20-01-2020,18:43:28,0.064
20-01-2020,18:43:58,0.066
20-01-2020,18:44:28,0.065
20-01-2020,18:44:58,0.065
20-01-2020,18:45:28,0.066
20-01-2020,18:45:58,0.067
20-01-2020,18:46:28,0.068
20-01-2020,18:46:58,0.071
20-01-2020,18:47:28,0.071
20-01-2020,18:47:58,0.071
20-01-2020,18:48:28,0.073
20-01-2020,18:48:58,0.072
20-01-2020,18:49:28,0.073
20-01-2020,18:49:58,0.073
20-01-2020,18:50:28,0.071
20-01-2020,18:50:58,0.074
20-01-2020,18:51:28,0.074
20-01-2020,18:51:58,0.074
20-01-2020,18:52:28,0.074
20-01-2020,18:52:58,0.076
20-01-2020,18:53:28,0.075
20-01-2020,18:53:58,0.074
20-01-2020,18:54:28,0.075
20-01-2020,18:54:58,0.075
20-01-2020,18:55:28,0.076
20-01-2020,18:55:58,0.075
20-01-2020,18:56:28,0.075
20-01-2020,18:56:58,0.078
20-01-2020,18:57:28,0.075
20-01-2020,18:57:58,0.076
20-01-2020,18:58:28,0.076
20-01-2020,18:58:58,0.076
20-01-2020,18:59:28,0.076
20-01-2020,18:59:58,0.078
20-01-2020,19:00:28,0.077
20-01-2020,19:00:58,0.079
20-01-2020,19:01:28,0.079
20-01-2020,19:01:58,0.079
20-01-2020,19:02:28,0.083
20-01-2020,19:02:58,0.081
20-01-2020,19:03:28,0.084
20-01-2020,19:03:58,0.087
20-01-2020,19:04:28,0.086
20-01-2020,19:04:58,0.085
20-01-2020,19:05:28,0.087
20-01-2020,19:05:58,0.094
20-01-2020,19:06:28,0.089
20-01-2020,19:06:58,0.087
20-01-2020,19:07:28,0.089
20-01-2020,19:07:58,0.103
20-01-2020,19:08:28,0.096
20-01-2020,19:08:58,0.098
20-01-2020,19:09:28,0.095
20-01-2020,19:09:58,0.095
20-01-2020,19:10:28,0.094
20-01-2020,19:10:58,0.096
20-01-2020,19:11:28,0.097
20-01-2020,19:11:58,0.100
20-01-2020,19:12:28,0.116
20-01-2020,19:12:58,0.118
20-01-2020,19:13:28,0.116
